ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
496600,2007,2008,Understanding how to develop new vaccines and drugs for tropical diseases.,Immunity and pathogenesis in Tropical and Infectious Diseases: Implications for Vaccines and,Queensland Institute of Medical Research,Prof David J Kemp,IMMUNOLOGY
496601,2007,2008,Development of innovative approaches to manage insect-transmitted diseases,Development of innovative approaches to manage insect-transmitted diseases,Queensland Institute of Medical Research,Prof Brian H Kay,MEDICAL MICROBIOLOGY
496602,2007,2008,Understanding Liver Scarring in Children with Liver Disease due to Obstructions in Bile Flow.,Role of Chemoattractants in Hepatic Stellate Cell Recruitment and Fibrogenesis in Paediatric Cholestatic Liver Disease.,Queensland Institute of Medical Research,A/Pr Grant Ramm,CLINICAL SCIENCES
496616,2007,2008,MMR Gene Unclassified Variants,Assessment of mismatch repair gene sequence variants for clinical relevance,Queensland Institute of Medical Research,Dr Amanda Spurdle,CLINICAL SCIENCES
496625,2007,2008,Uncoupled Reasearch Fellowship,Uncoupled Reasearch Fellowship,Queensland Institute of Medical Research,A/Pr Penelope M Webb,PUBLIC HEALTH AND HEALTH SERVICES
496630,2007,2008,"A study of the transfer of molecules, other than DNA, across generations",Molecular basis of transgenerational epigenetic inheritance in mammals,Queensland Institute of Medical Research,Prof Emma Whitelaw,GENETICS
496635,2007,2008,Diagnostics for drug resistance in scabies,Diagnostics for drug resistance in scabies,Queensland Institute of Medical Research,A/Pr James McCarthy,CLINICAL SCIENCES
496636,2007,2008,Practitioner Fellowship,Practitioner Fellowship,Queensland Institute of Medical Research,A/Pr James S McCarthy,CLINICAL SCIENCES
496640,2007,2008,New anti-giardial drugs,The mechanism of action of new 5-nitroimidazole drugs which are effective against metronidazole-resistant Giardia,Queensland Institute of Medical Research,Dr Jacqueline Upcroft,MEDICAL MICROBIOLOGY
496642,2007,2008,Characterizing a new pathway for melanoma development,The role of PKA signalling in melanoma,Queensland Institute of Medical Research,Prof Nicholas Hayward,CLINICAL SCIENCES
496644,2007,2008,Genes and pathways involved in development of pancreatic cancer,Understanding the development of pancreatic islet cell tumours,Queensland Institute of Medical Research,Prof Nicholas Hayward,CLINICAL SCIENCES
496645,2007,2008,Immune factors involved in the pathology of human schistosomiasis,Mechanisms of in vivo modulation of granulomatous inflammation in human schistosomiasis,Queensland Institute of Medical Research,Dr Yuesheng Li,MEDICAL MICROBIOLOGY
496650,2007,2008,Genes determining asexual/sexual development in Echinococcus granulosus,Molecular cascades determining asexual/sexual development in Echinococcus granulosus,Queensland Institute of Medical Research,Dr Malcolm Jones,MEDICAL MICROBIOLOGY
496655,2007,2008,How do new pathogenic bacteria arise?,Identifying the physiological conditions that promote lateral gene transfer and evolution of new streptococcal pathovars,Queensland Institute of Medical Research,Dr David McMillan,GENETICS
496663,2007,2008,CELL FACTORS INCREASE HIV-1 REVERSE TRANSCRIPTION,HOST CELL FACTORS INCREASE THE EFFICIENCY OF HIV-1 REVERSE TRANSCRIPTION,Queensland Institute of Medical Research,Dr David Harrich,MEDICAL MICROBIOLOGY
496666,2007,2008,Determining the function of a protein involved in gene silencing,Role of SmcHD1 in X chromosome inactivation.,Queensland Institute of Medical Research,Dr Graham Kay,GENETICS
496667,2007,2008,Understanding how the expression of genes varies between individuals and how this variation is correlated with disease,Mapping eQTL to dissect the genetic basis of complex trait variation,Queensland Institute of Medical Research,Prof Peter Visscher,GENETICS
496674,2007,2008,Statistical methods for gene mapping,Statistical methods for identifying genes involved in common complex disease,Queensland Institute of Medical Research,Dr Stuart  Macgregor,GENETICS
496675,2007,2008,More efficient statistical methods for gene-mapping,Novel statistical genetic methods for DNA pooling,Queensland Institute of Medical Research,Dr Stuart MacGregor,GENETICS
496682,2007,2008,Brain imaging study of twins,Unravelling genetic influences on the human brain,Queensland Institute of Medical Research,Dr Margaret Wright,PSYCHOLOGY
496684,2007,2008,A tumour-associated viral protein as a cancer vaccine.,"Enhanced translation of Epstein-Barr virus nuclear protein, EBNA1, as a target for T cell-based immunotherapy.",Queensland Institute of Medical Research,Dr Judy Tellam,MEDICAL MICROBIOLOGY
496688,2007,2008,Accurate prediction of individual risk to disease using multiple genetic risk factors,Accurate prediction of individual risk to disease from  genome-wide association studies,Queensland Institute of Medical Research,Dr Naomi Wray,PUBLIC HEALTH AND HEALTH SERVICES
496689,2007,2008,Modulation of APCs in GVHD,Inhibition of alloreactivity by modulation of antigen presenting cells,Queensland Institute of Medical Research,Dr Kelli MacDonald,IMMUNOLOGY
496698,2007,2008,A genetic study of schizophrenia in an isolated population.,Linkage and association studies of schizophrenia in an isolated population.,University of Queensland,A/Pr Bryan Mowry,CLINICAL SCIENCES
496700,2007,2008,New drugs for an old enemy,A transgenic approach to rationale drug design in plasmodium falciparum,Queensland Institute of Medical Research,Dr Donald L Gardiner,MEDICAL MICROBIOLOGY
496702,2007,2008,A mathematical approach to mosquito-borne disease management,Application of mathematical modelling and development of decision support tools for mosquito-borne disease,Queensland Institute of Medical Research,Dr Michelle L Gatton,CLINICAL SCIENCES
496712,2007,2008,A tumor-associated viral protein as a cancer vaccine,"Enhanced translation of Epstein-Barr virus nuclear protein, EBNA1, as a target fot T cell-based immunotherapy",Queensland Institute of Medical Research,Dr Judy T Tellam,MEDICAL MICROBIOLOGY
496713,2007,2008,Proteins from parasitic worms as cures for allergies.,Immunomodulatory molecules of parasitic helminths as novel therapeutics for allergic disorders.,James Cook University,Dr Mark S Pearson,CLINICAL SCIENCES
496714,2007,2008,The economic impact of reflux-related conditions of the oesophagus.,"The economic impact of managing gastro-oesophageal reflux disease, Barrett's oesophagus and oesophageal cancer.",Queensland Institute of Medical Research,Dr Louisa G Gordon,ECONOMICS
496715,2007,2008,The influence of metabolic factors and hormones in uterine and ovarian cancer,Metabolic and hormonal pathways in gynecological cancer - epidemiological studies of risk and survival,Queensland Institute of Medical Research,Dr Christina  M Nagle,PUBLIC HEALTH AND HEALTH SERVICES
496717,2007,2008,"The Role of Support Services, Diet and Exercise in Alleviate Distress in Women with Ovarian Cancer and their Partners","The Role of Support Services, Diet and Exercise in Alleviate Distress in Women with Ovarian Cancer and their Partners",Queensland Institute of Medical Research,Dr Vanessa L Beesley,CLINICAL SCIENCES
496719,2007,2008,The Genetics of Sensitivity to Environmental Risk Factors in Cardiovascular Disease,Genome-wide Association Study for Genes That Determine Environmental Sensitivity in Cardiovascular Disease Risk,Queensland Institute of Medical Research,Dr Allan F Mcrae,GENETICS
496721,2007,2008,Building better T cells,Investigations into the architectural and biophysical features of optimal T cell receptor design,Queensland Institute of Medical Research,Mr John J Miles,IMMUNOLOGY
496727,2007,2008,The Genetics Controlling the Course of Herpesvirus Infection in Humans,The Genetics Controlling the Course of Herpesvirus Infection in Humans,Queensland Institute of Medical Research,Miss Rebekah M Brennan,IMMUNOLOGY
496730,2007,2008,Clinical and Genetic Modifiers in the Progression to Cirrhosis in Hemochromatosis,Clinical and Genetic Modifiers in the Progression to Cirrhosis in Hemochromatosis,Queensland Institute of Medical Research,Dr Marnie J Wood,CLINICAL SCIENCES
496737,2007,2009,"Collaborative ovarian, prostate and breast gene-environment study (COGS)","Collaborative ovarian, prostate and breast gene-environment study (COGS)",Queensland Institute of Medical Research,Prof Georgia  Chenevix-Trench,PUBLIC HEALTH AND HEALTH SERVICES
496739,2007,2009,Validation and replication of genes associated with common human disease using Australian twin families.,Validation and replication of genes associated with common human disease using Australian twin families.,Queensland Institute of Medical Research,Professor Nicholas Martin,PUBLIC HEALTH AND HEALTH SERVICES
